@RELATION scores

@ATTRIBUTE bm25_score	 NUMERIC
@ATTRIBUTE okapi_tf_score	   NUMERIC
@ATTRIBUTE tf_idf_score	     NUMERIC
@ATTRIBUTE lm_laplace_score	       NUMERIC
@ATTRIBUTE lm_jelinik_mercer	     NUMERIC
@ATTRIBUTE Score	          REAL

@Data
10.39,0.7164,3.88,-39.15,-118.6057,?
18.08,0.8562,7.19,-38.13,-115.279,?
17.94,0.815,7.09,-38.27,-115.6142,?
15.4,0.9047,5.14,-39.45,-116.063,?
4.95,0.6094,1.88,-39.66,-119.5251,?
15.04,0.5278,6.06,-37.91,-115.9403,?
22.08,1.1934,8.82,-37.18,-113.0289,?
6.0,0.8074,2.5,-39.04,-119.293,?
13.94,0.6579,5.79,-38.09,-116.1815,?
22.07,1.0822,7.88,-38.85,-114.5567,?
17.61,1.0951,6.67,-38.58,-116.121,?
22.59,0.7532,8.86,-37.91,-114.7995,?
5.36,0.6834,2.11,-39.51,-119.5202,?
17.77,0.7862,7.1,-37.83,-116.6295,?
14.19,0.5472,4.8,-39.33,-116.3538,?
11.18,0.7902,4.29,-39.05,-117.4217,?
13.92,0.8637,5.76,-38.06,-116.9009,?
10.86,0.7721,4.07,-39.19,-117.1723,?
13.63,0.7721,5.56,-38.39,-117.1723,?
13.45,0.6923,5.46,-38.56,-116.6698,?
15.2,0.7527,6.15,-38.22,-116.0756,?
18.78,0.6366,7.43,-37.31,-117.1665,?
14.43,0.7915,6.07,-37.71,-117.0346,?
14.13,0.7945,5.88,-37.93,-117.322,?
17.53,0.7634,6.88,-37.72,-117.7241,?
18.2,0.778,7.33,-37.52,-116.8098,?
11.08,0.8708,4.33,-38.66,-117.7306,?
12.71,0.8548,5.08,-38.45,-117.5065,?
12.65,0.8093,5.02,-38.55,-117.8622,?
16.62,0.8174,6.41,-37.83,-117.9061,?
19.13,0.7549,7.81,-37.4,-116.1181,?
12.78,0.8356,4.85,-38.67,-117.4406,?
3.94,0.4479,1.38,-39.76,-120.2118,?
18.14,0.3142,6.18,-39.12,-115.8386,?
13.96,0.7196,5.78,-38.29,-116.2003,?
13.71,0.7359,5.33,-38.85,-115.9819,?
11.78,0.6302,4.5,-39.15,-116.9063,?
13.06,0.6526,5.23,-38.76,-116.3637,?
13.05,0.7541,5.22,-38.21,-118.4177,?
0.0,0.0,0.0,-39.98,-120.9041,?
12.14,0.4132,4.86,-38.36,-118.1341,?
13.11,0.8548,5.29,-38.44,-117.0397,?
15.38,0.2311,5.1,-39.25,-116.36,?
5.68,0.7443,2.3,-39.46,-118.9668,?
12.1,0.6872,4.68,-38.82,-118.4213,?
12.92,0.6729,5.14,-38.76,-117.1784,?
13.25,0.7214,5.33,-37.73,-118.7035,?
15.96,1.1404,5.85,-38.89,-117.3198,?
12.57,0.5977,4.21,-39.42,-117.7373,?
10.72,0.7632,4.24,-39.05,-117.5786,?
8.76,0.8229,3.05,-39.66,-117.4514,?
17.41,0.7917,6.6,-38.66,-114.9365,?
18.69,0.7714,6.76,-38.71,-114.9268,?
19.85,0.8238,7.41,-38.36,-115.2524,?
19.86,0.9458,6.9,-39.03,-115.6541,?
18.49,0.8386,7.57,-37.27,-115.9362,?
17.33,0.6595,6.85,-37.79,-117.5019,?
13.33,0.7295,4.46,-39.53,-116.2346,?
4.95,0.711,1.97,-39.66,-119.2992,?
3.38,0.4227,1.17,-39.86,-120.2131,?
13.29,0.8345,5.11,-38.72,-116.7223,?
10.21,0.2189,3.28,-39.6,-117.3431,?
13.55,0.4501,5.33,-38.45,-116.4854,?
