@RELATION scores

@ATTRIBUTE bm25_score	 NUMERIC
@ATTRIBUTE okapi_tf_score	   NUMERIC
@ATTRIBUTE tf_idf_score	     NUMERIC
@ATTRIBUTE lm_laplace_score	       NUMERIC
@ATTRIBUTE lm_jelinik_mercer	     NUMERIC
@ATTRIBUTE Score	          REAL

@Data
10.39,0.7164,3.88,-39.15,-118.6057,0
18.08,0.8562,7.19,-38.13,-115.279,1
17.94,0.815,7.09,-38.27,-115.6142,1
15.4,0.9047,5.14,-39.45,-116.063,0
4.95,0.6094,1.88,-39.66,-119.5251,0
15.04,0.5278,6.06,-37.91,-115.9403,0
22.08,1.1934,8.82,-37.18,-113.0289,1
6.0,0.8074,2.5,-39.04,-119.293,0
13.94,0.6579,5.79,-38.09,-116.1815,0
22.07,1.0822,7.88,-38.85,-114.5567,0
17.61,1.0951,6.67,-38.58,-116.121,0
22.59,0.7532,8.86,-37.91,-114.7995,0
5.36,0.6834,2.11,-39.51,-119.5202,0
17.77,0.7862,7.1,-37.83,-116.6295,1
14.19,0.5472,4.8,-39.33,-116.3538,0
11.18,0.7902,4.29,-39.05,-117.4217,1
13.92,0.8637,5.76,-38.06,-116.9009,1
10.86,0.7721,4.07,-39.19,-117.1723,0
13.63,0.7721,5.56,-38.39,-117.1723,0
13.45,0.6923,5.46,-38.56,-116.6698,0
15.2,0.7527,6.15,-38.22,-116.0756,1
18.78,0.6366,7.43,-37.31,-117.1665,0
14.43,0.7915,6.07,-37.71,-117.0346,0
14.13,0.7945,5.88,-37.93,-117.322,1
17.53,0.7634,6.88,-37.72,-117.7241,1
18.2,0.778,7.33,-37.52,-116.8098,0
11.08,0.8708,4.33,-38.66,-117.7306,0
12.71,0.8548,5.08,-38.45,-117.5065,0
12.65,0.8093,5.02,-38.55,-117.8622,0
16.62,0.8174,6.41,-37.83,-117.9061,0
19.13,0.7549,7.81,-37.4,-116.1181,1
12.78,0.8356,4.85,-38.67,-117.4406,0
3.94,0.4479,1.38,-39.76,-120.2118,0
18.14,0.3142,6.18,-39.12,-115.8386,0
13.96,0.7196,5.78,-38.29,-116.2003,0
13.71,0.7359,5.33,-38.85,-115.9819,0
11.78,0.6302,4.5,-39.15,-116.9063,0
13.06,0.6526,5.23,-38.76,-116.3637,0
13.05,0.7541,5.22,-38.21,-118.4177,0
0.0,0.0,0.0,-39.98,-120.9041,0
12.14,0.4132,4.86,-38.36,-118.1341,0
13.11,0.8548,5.29,-38.44,-117.0397,0
15.38,0.2311,5.1,-39.25,-116.36,0
5.68,0.7443,2.3,-39.46,-118.9668,0
12.1,0.6872,4.68,-38.82,-118.4213,0
12.92,0.6729,5.14,-38.76,-117.1784,0
13.25,0.7214,5.33,-37.73,-118.7035,0
15.96,1.1404,5.85,-38.89,-117.3198,1
12.57,0.5977,4.21,-39.42,-117.7373,0
10.72,0.7632,4.24,-39.05,-117.5786,1
8.76,0.8229,3.05,-39.66,-117.4514,0
17.41,0.7917,6.6,-38.66,-114.9365,1
18.69,0.7714,6.76,-38.71,-114.9268,1
19.85,0.8238,7.41,-38.36,-115.2524,1
19.86,0.9458,6.9,-39.03,-115.6541,0
